celda,origen,plano,bin,ancla,n_semillas,frac_lcc_inicial,media_nulo_uniforme,desvio_nulo_uniforme,z,p_empirico
gene_a_disease,Gene,disease,bajo,93664,5,0.14285714285714285,0.14299999999999993,0.004515280179794031,-0.03163859985840349,1.0
gene_a_disease,Gene,disease,bajo,11067,5,0.6,0.20060000000000003,0.010938007131100254,36.514878369788036,0.0
gene_a_disease,Gene,disease,bajo,79759,5,0.6,0.20040000000000002,0.00893532316147547,44.721381955480936,0.0
gene_a_disease,Gene,disease,bajo,2643,6,0.125,0.125375,0.00683625445693766,-0.05485459945386086,1.0
gene_a_disease,Gene,disease,bajo,2273,6,0.36363636363636365,0.09136363636363634,0.006412152718029949,42.46198417999932,0.0
gene_a_disease,Gene,disease,bajo,3913,5,0.2857142857142857,0.14357142857142852,0.01007623998547563,14.10673597966589,0.005
gene_a_disease,Gene,disease,bajo,1129,6,0.2,0.06726666666666667,0.006296030495478874,21.082066458961407,0.0
gene_a_disease,Gene,disease,bajo,26270,5,1.0,0.20000000000000004,2.7755575615628914e-17,2.8823037615171172e+16,0.0
gene_a_disease,Gene,disease,bajo,3087,5,0.5,0.16733333333333328,0.010519822558706335,31.622840101171448,0.0
gene_a_disease,Gene,disease,bajo,3882,5,0.4,0.20020000000000004,0.006321392251711643,31.606961258558215,0.001
gene_a_disease,Gene,disease,bajo,8451,5,0.8333333333333334,0.16716666666666663,0.009115005942583545,73.08461133902996,0.0
gene_a_disease,Gene,disease,bajo,4361,5,0.25,0.125625,0.00881670998729118,14.106735979665883,0.005
gene_a_disease,Gene,disease,bajo,1364,5,0.6,0.20020000000000004,0.006321392251711643,63.24556111697484,0.0
gene_a_disease,Gene,disease,bajo,22891,5,0.5,0.16716666666666663,0.009115005942583545,36.51487836978804,0.0
gene_a_disease,Gene,disease,bajo,2026,5,0.2222222222222222,0.11144444444444448,0.006076670628389027,18.23001188516709,0.003
gene_a_disease,Gene,disease,bajo,2632,5,0.5555555555555556,0.11144444444444448,0.0060766706283890285,73.08461133902996,0.0
gene_a_disease,Gene,disease,bajo,54903,5,0.07692307692307693,0.07769230769230767,0.0076537495162047695,-0.10050378152591793,1.0
gene_a_disease,Gene,disease,bajo,50807,5,0.3333333333333333,0.1668333333333333,0.0052678268764263705,31.60696125855821,0.001
gene_a_disease,Gene,disease,bajo,11035,5,0.3333333333333333,0.16699999999999998,0.0074461026345628905,22.338307903688683,0.002
gene_a_disease,Gene,disease,bajo,9668,5,0.6,0.20040000000000002,0.00893532316147547,44.721381955480936,0.0
gene_a_disease,Gene,disease,bajo,10987,5,0.8333333333333334,0.1668333333333333,0.00526782687642637,126.52276083380814,0.0
gene_a_disease,Gene,disease,medio,50943,7,0.25,0.08408333333333332,0.007870038119348596,21.0820664589614,0.0
gene_a_disease,Gene,disease,medio,8802,9,0.18181818181818182,0.09136363636363636,0.006412152718029948,14.106735979665885,0.005
gene_a_disease,Gene,disease,medio,822,8,0.2,0.10070000000000001,0.008337265738837887,11.910379626911258,0.007
gene_a_disease,Gene,disease,medio,1675,8,0.18181818181818182,0.09181818181818181,0.009045340337332909,9.949874371066201,0.01
gene_a_disease,Gene,disease,medio,780,9,0.3,0.10030000000000001,0.005469003565550126,36.51487836978804,0.0
gene_a_disease,Gene,disease,medio,5731,7,0.375,0.1255,0.00788986691902975,31.622840101171445,0.0
gene_a_disease,Gene,disease,medio,5685,7,0.42857142857142855,0.1431428571428571,0.006382373686768192,44.72138195548096,0.0
gene_a_disease,Gene,disease,medio,7307,7,0.2222222222222222,0.11177777777777781,0.008580770922803477,12.871156384205209,0.006
gene_a_disease,Gene,disease,medio,5291,8,0.3,0.10030000000000003,0.005469003565550126,36.51487836978804,0.0
gene_a_disease,Gene,disease,medio,6690,6,0.2222222222222222,0.1115555555555556,0.007013215039137553,15.779733838059498,0.004
gene_a_disease,Gene,disease,medio,948,9,0.15384615384615385,0.07807692307692307,0.00996294911306817,7.605100649349502,0.014
gene_a_disease,Gene,disease,medio,93,7,0.875,0.1255,0.00788986691902975,94.99526515361924,0.0
gene_a_disease,Gene,disease,medio,308,8,0.15384615384615385,0.07784615384615383,0.008375789285425355,9.073771725877467,0.012
